구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2008-12-12,금,,952,921,"1,873",2,836,332,51,453,0,429,900,"1,736",90,74,4,12,2,0,16,106,26,14,1,11,0,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-13,토,,"4,323","1,307","5,630",4,"3,024","2,068",147,809,4,0,"1,210","4,234","1,215",777,45,393,0,0,70,"1,285",44,35,1,8,0,0,12,56,0,0,0,0,0,0,0,0,40,19,0,21,0,0,15,55,0,0,0,0,0,0,0,0
2008-12-14,일,,"3,964","1,230","5,194",11,"2,923","2,243",80,600,5,62,"1,143","4,066",976,691,24,261,6,0,73,"1,049",44,30,0,14,0,0,14,58,0,0,0,0,0,0,0,0,21,5,0,16,0,0,0,21,0,0,0,0,0,0,0,0
2008-12-15,월,,675,914,"1,589",0,531,445,35,51,0,0,896,"1,427",133,108,4,21,0,0,13,146,11,5,2,4,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-16,화,,"1,652",980,"2,632",0,"1,498",372,97,"1,029",0,"1,026",953,"2,451",145,73,60,12,0,26,17,162,9,6,2,1,0,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-17,수,,193,863,"1,056",0,156,134,6,16,0,0,850,"1,006",35,26,2,7,0,0,1,36,2,1,0,1,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-18,목,,"1,211",941,"2,152",5,"1,053",384,511,158,3,556,911,"1,964",156,107,25,24,2,0,23,179,2,2,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-19,금,,704,674,"1,378",1,511,329,150,32,0,71,657,"1,168",191,104,70,17,1,71,12,203,2,2,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-20,토,,"1,390",827,"2,217",10,"1,054",833,64,157,5,137,806,"1,860",314,250,13,51,5,0,19,333,18,11,0,7,0,0,1,19,0,0,0,0,0,0,0,0,4,3,0,1,0,0,1,5,0,0,0,0,0,0,0,0
2008-12-21,일,,"3,189","1,207","4,396",4,"2,330","1,817",110,403,4,86,"1,162","3,492",808,581,37,190,0,39,41,849,34,26,0,8,0,0,4,38,0,0,0,0,0,0,0,0,17,8,0,9,0,0,0,17,0,0,0,0,0,0,0,0
2008-12-22,월,,169,541,710,0,138,109,16,13,0,0,539,677,31,19,7,5,0,0,1,32,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-23,화,,461,795,"1,256",0,353,261,71,21,0,0,790,"1,143",91,74,10,7,0,0,2,93,1,1,0,0,0,0,3,4,0,0,0,0,0,0,0,0,16,3,0,13,0,0,0,16,0,0,0,0,0,0,0,0
2008-12-24,수,,805,915,"1,720",2,595,510,60,25,0,0,881,"1,476",144,123,14,7,2,0,34,178,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,64,4,0,60,0,0,0,64,0,0,0,0,0,0,0,0
2008-12-25,목,,"5,991",877,"6,868",11,"4,124","2,746",871,507,0,0,797,"4,921","1,814","1,195",343,276,11,0,74,"1,888",23,16,0,7,0,0,5,28,0,0,0,0,0,0,0,0,30,13,0,17,0,0,1,31,0,0,0,0,0,0,0,0
2008-12-26,금,,"1,539",577,"2,116",6,991,546,34,411,6,67,564,"1,555",432,233,7,192,0,0,13,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,21,0,95,0,0,0,116,0,0,0,0,0,0,0,0
2008-12-27,토,,"2,632","1,070","3,702",11,"1,860","1,267",131,462,8,0,"1,023","2,883",725,482,29,214,3,0,46,771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,23,0,24,0,0,1,48,0,0,0,0,0,0,0,0
2008-12-28,일,,"5,317","1,147","6,464",9,"3,711","2,680",152,879,0,0,"1,063","4,774","1,484","1,020",52,412,6,0,71,"1,555",89,63,1,25,3,0,13,102,0,0,0,0,0,0,0,0,33,19,0,14,0,0,0,33,0,0,0,0,0,0,0,0
