date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median
2008-12-02,0.005,0.013,0.008499999999999999,0.009,0.3,1.4,0.6916666666666668,0.6,0.002,0.038,0.010208333333333333,0.0045000000000000005,0.019,0.057,0.03991666666666666,0.041,16.0,199.0,95.58333333333333,83.0
2008-12-03,0.008,0.018,0.011541666666666667,0.011,0.4,1.5,1.0666666666666667,1.1,0.002,0.018,0.005750000000000001,0.0035,0.037,0.07,0.051458333333333335,0.0475,29.0,166.0,88.20833333333333,92.0
2008-12-04,0.007,0.016,0.009958333333333333,0.008,0.2,1.6,0.7708333333333334,0.5,0.002,0.019,0.008478260869565218,0.003,0.013,0.065,0.037208333333333336,0.040499999999999994,10.0,139.0,69.83333333333333,77.0
2008-12-05,0.002,0.007,0.0037916666666666667,0.004,0.2,0.3,0.24583333333333335,0.2,0.008,0.028,0.021047619047619048,0.022,0.007,0.021,0.012166666666666666,0.0125,6.0,62.0,20.166666666666668,17.5
2008-12-06,0.002,0.011,0.004583333333333333,0.0035,0.2,0.9,0.35833333333333334,0.3,0.003,0.034,0.018083333333333333,0.02,0.008,0.046,0.021041666666666667,0.017,8.0,40.0,23.333333333333332,23.0
2008-12-07,0.008,0.016,0.01,0.0095,0.3,1.1,0.5750000000000001,0.5,0.002,0.02,0.007416666666666666,0.006,0.015,0.043,0.03075,0.031,17.0,60.0,39.833333333333336,38.0
2008-12-08,0.008,0.018,0.011791666666666666,0.011,0.3,1.8,0.6166666666666667,0.5,0.002,0.034,0.010791666666666666,0.009000000000000001,0.014,0.064,0.035083333333333334,0.0345,18.0,140.0,61.5,44.0
2008-12-09,0.009,0.017,0.012791666666666666,0.0125,0.4,1.7,0.8833333333333333,0.8,0.002,0.021,0.007291666666666668,0.004,0.033,0.065,0.046000000000000006,0.042499999999999996,83.0,217.0,139.43478260869566,137.0
2008-12-10,0.012,0.025,0.017249999999999998,0.0165,0.4,2.9,1.3541666666666667,1.45,0.002,0.025,0.006541666666666667,0.003,0.035,0.104,0.05445833333333333,0.056,83.0,164.0,112.04347826086956,111.0
2008-12-11,0.005,0.014,0.00725,0.007,0.1,1.3,0.45416666666666666,0.4,0.002,0.031,0.015958333333333335,0.019,0.011,0.063,0.02408333333333333,0.017,7.0,128.0,48.791666666666664,36.0
2008-12-12,0.006,0.02,0.010958333333333334,0.011,0.2,1.4,0.725,0.7,0.002,0.025,0.0067083333333333335,0.003,0.019,0.051,0.03779166666666667,0.037,23.0,79.0,51.59090909090909,50.0
2008-12-13,0.004,0.017,0.008958333333333334,0.0075,0.3,1.8,0.7833333333333333,0.5,0.002,0.02,0.008125,0.005,0.022,0.05,0.03175,0.031,20.0,92.0,55.95652173913044,64.0
2008-12-14,0.003,0.011,0.005958333333333333,0.0055,0.1,0.9,0.4458333333333333,0.4,0.002,0.025,0.011958333333333333,0.010499999999999999,0.011,0.039,0.0265,0.028,10.0,61.0,28.666666666666668,26.5
2008-12-15,0.007,0.018,0.011772727272727273,0.012,0.2,1.6,0.8916666666666666,0.95,0.002,0.018,0.005999999999999999,0.003,0.029,0.057,0.041833333333333333,0.039,13.0,98.0,40.21739130434783,32.0
2008-12-16,0.01,0.021,0.015791666666666666,0.015,0.6,1.8,1.1416666666666666,1.15,0.002,0.014,0.004541666666666667,0.003,0.04,0.072,0.05204166666666666,0.0505,41.0,121.0,82.28571428571429,92.0
2008-12-17,0.011,0.026,0.017083333333333332,0.0165,0.5,2.0,0.8416666666666667,0.75,0.002,0.035,0.010416666666666666,0.0055,0.024,0.059,0.040916666666666664,0.042499999999999996,78.0,223.0,117.66666666666667,102.5
2008-12-18,0.006,0.013,0.008416666666666666,0.008,0.2,0.9,0.4583333333333333,0.4,0.003,0.025,0.012708333333333334,0.0135,0.011,0.052,0.0295,0.0265,15.0,91.0,38.904761904761905,32.0
2008-12-19,0.006,0.014,0.00991304347826087,0.01,0.3,1.4,0.8913043478260869,1.0,0.002,0.015,0.005782608695652175,0.004,0.027,0.061,0.04473913043478261,0.045,15.0,99.0,47.30434782608695,40.0
2008-12-20,0.003,0.008,0.005416666666666667,0.005,0.2,0.7,0.39999999999999997,0.4,0.003,0.022,0.009541666666666667,0.01,0.017,0.04,0.030291666666666665,0.0315,17.0,55.0,37.291666666666664,37.5
2008-12-21,0.003,0.01,0.005666666666666667,0.0055,0.3,0.6,0.45,0.4,0.004,0.017,0.009875,0.0085,0.018,0.044,0.030375,0.031,23.0,48.0,35.61538461538461,35.0
2008-12-22,0.001,0.006,0.0035833333333333338,0.0035,0.3,0.5,0.3565217391304348,0.4,0.004,0.029,0.017583333333333333,0.02,0.006,0.039,0.020541666666666666,0.0195,8.0,50.0,27.91304347826087,30.0
2008-12-23,0.004,0.02,0.011999999999999999,0.011,0.2,1.5,0.7291666666666666,0.75,0.003,0.023,0.007124999999999999,0.005,0.021,0.061,0.041375,0.0385,28.0,95.0,46.583333333333336,40.5
2008-12-24,0.011,0.048,0.023624999999999997,0.0175,0.3,2.5,1.0875000000000001,0.7,0.004,0.02,0.008125,0.005,0.021,0.059,0.041,0.041,18.0,109.0,70.58333333333333,68.0
2008-12-25,0.006,0.032,0.013083333333333334,0.009,0.2,0.7,0.3666666666666667,0.35,0.012,0.029,0.020833333333333332,0.0195,0.007,0.025,0.014125,0.013,10.0,120.0,47.458333333333336,36.0
2008-12-26,0.004,0.015,0.007458333333333333,0.007,0.2,0.9,0.43333333333333335,0.4,0.004,0.026,0.0155,0.017,0.007,0.044,0.02358333333333333,0.0205,8.0,54.0,27.428571428571427,25.0
2008-12-27,0.012,0.022,0.016916666666666667,0.0165,0.4,1.5,0.9249999999999999,0.9,0.004,0.014,0.005750000000000001,0.0045000000000000005,0.029,0.07,0.04529166666666667,0.042499999999999996,13.0,89.0,50.208333333333336,46.0
2008-12-28,0.017,0.028,0.022375000000000003,0.022,0.6,1.9,1.2249999999999999,1.3,0.004,0.011,0.0055000000000000005,0.004,0.047,0.065,0.05616666666666667,0.055,54.0,126.0,85.70833333333333,86.0
2008-12-29,0.01,0.033,0.020875,0.0205,0.3,1.5,0.8916666666666666,0.8,0.004,0.03,0.008791666666666666,0.006,0.012,0.058,0.04083333333333333,0.0445,51.0,115.0,88.04166666666667,90.0
2008-12-30,0.008,0.018,0.010208333333333333,0.0095,0.2,0.6,0.35000000000000003,0.3,0.004,0.032,0.022166666666666668,0.026,0.007,0.044,0.017374999999999998,0.0125,7.0,55.0,30.0,27.5
2008-12-31,0.007,0.016,0.010333333333333333,0.01,0.3,0.8,0.49583333333333335,0.45,0.004,0.028,0.015916666666666666,0.0165,0.014,0.041,0.02354166666666667,0.023,15.0,74.0,39.208333333333336,38.0
2009-01-01,0.008,0.017,0.010916666666666667,0.01,0.4,1.0,0.5333333333333333,0.5,0.004,0.026,0.017166666666666667,0.0195,0.013,0.043,0.022625000000000003,0.018,22.0,73.0,40.95238095238095,37.0
2009-01-02,0.012,0.022,0.015416666666666667,0.015,0.3,1.3,0.7625000000000001,0.8,0.004,0.018,0.007333333333333333,0.004,0.027,0.06,0.041041666666666664,0.0395,9.0,84.0,39.5,35.0
2009-01-03,0.017,0.028,0.022000000000000002,0.022,0.5,1.4,1.0458333333333334,1.15,0.004,0.01,0.005666666666666667,0.005,0.037,0.073,0.05341666666666667,0.0545,27.0,139.0,59.75,53.0
2009-01-04,0.015,0.039,0.022291666666666668,0.021,0.2,1.6,0.9083333333333333,0.95,0.004,0.034,0.009458333333333334,0.005,0.015,0.065,0.045375,0.047,14.0,98.0,49.958333333333336,49.0
2009-01-05,0.015,0.023,0.018583333333333334,0.0185,0.3,1.2,0.8083333333333332,0.9,0.003,0.027,0.008666666666666666,0.004,0.019,0.071,0.045500000000000006,0.047,25.0,94.0,58.083333333333336,57.5
2009-01-06,0.018,0.029,0.021875000000000002,0.021,0.7,1.6,1.1291666666666667,1.15,0.004,0.013,0.005541666666666667,0.005,0.045,0.083,0.06241666666666667,0.065,59.0,164.0,107.54166666666667,105.5
2009-01-07,0.007,0.033,0.017666666666666667,0.019,0.3,1.7,1.0958333333333334,1.1,0.002,0.014,0.005291666666666667,0.004,0.036,0.086,0.061,0.0625,26.0,154.0,86.3913043478261,83.0
2009-01-08,0.007,0.024,0.013125,0.012,0.3,2.0,1.1083333333333334,1.05,0.002,0.023,0.005833333333333334,0.002,0.027,0.1,0.05733333333333334,0.056,33.0,184.0,82.69565217391305,65.0
2009-01-09,0.004,0.017,0.008624999999999999,0.008,0.3,1.2,0.6666666666666666,0.6,0.002,0.024,0.008791666666666666,0.006500000000000001,0.019,0.053,0.03625,0.0375,30.0,90.0,60.958333333333336,65.0
2009-01-10,0.002,0.006,0.0031666666666666666,0.003,0.3,0.4,0.33636363636363636,0.3,0.013,0.026,0.019791666666666666,0.0195,0.009,0.027,0.017291666666666667,0.017,17.0,71.0,36.69565217391305,33.0
2009-01-11,0.002,0.016,0.006166666666666667,0.005,0.2,0.9,0.4583333333333333,0.4,0.003,0.031,0.01975,0.0235,0.008,0.04,0.01879166666666667,0.013999999999999999,12.0,74.0,34.791666666666664,30.0
2009-01-12,0.002,0.005,0.004083333333333334,0.004,0.2,0.4,0.3541666666666667,0.4,0.012,0.027,0.021500000000000002,0.0235,0.007,0.023,0.013708333333333335,0.0125,8.0,58.0,31.166666666666668,29.5
2009-01-13,0.005,0.02,0.010125,0.008,0.2,1.1,0.5666666666666667,0.5,0.002,0.026,0.012583333333333334,0.014499999999999999,0.012,0.059,0.03295833333333333,0.028,11.0,64.0,31.791666666666668,29.0
2009-01-14,0.003,0.018,0.007416666666666666,0.0075,0.2,1.1,0.4458333333333333,0.4,0.002,0.03,0.017208333333333332,0.019,0.009,0.059,0.024999999999999998,0.02,37.0,80.0,48.958333333333336,45.5
2009-01-15,0.003,0.022,0.010416666666666666,0.011,0.2,1.0,0.5666666666666667,0.55,0.002,0.026,0.009208333333333334,0.0055,0.017,0.051,0.034583333333333334,0.034,13.0,61.0,33.69565217391305,30.0
2009-01-16,0.007,0.028,0.015416666666666667,0.014499999999999999,0.5,1.8,0.9125,0.7,0.004,0.008,0.005750000000000001,0.005,0.038,0.057,0.045250000000000005,0.0435,16.0,117.0,68.04166666666667,64.5
2009-01-17,0.013,0.035,0.018708333333333334,0.0185,0.6,2.8,1.2916666666666667,1.1,0.004,0.01,0.006166666666666667,0.005,0.038,0.057,0.04495833333333333,0.0445,98.0,172.0,130.625,130.5
2009-01-18,0.018,0.035,0.024458333333333332,0.0235,0.6,2.2,1.2565217391304346,1.1,0.004,0.029,0.010541666666666666,0.006,0.022,0.053,0.04070833333333333,0.042,102.0,157.0,133.625,135.0
2009-01-19,0.011,0.028,0.018,0.018,0.2,1.3,0.6625,0.7,0.005,0.033,0.017625,0.018000000000000002,0.013,0.055,0.029416666666666664,0.025500000000000002,15.0,185.0,84.0,82.0
2009-01-20,0.012,0.033,0.020375,0.0195,0.2,1.8,0.9416666666666668,0.95,0.004,0.02,0.007291666666666668,0.006,0.029,0.071,0.051416666666666666,0.048,17.0,113.0,57.82608695652174,55.0
