timestamp,sky state_min,sky state_max,sky state_mean,sky state_median
2019-11-23,1.0,4.0,2.53125,2.0
2019-11-24,2.0,4.0,3.3484848484848486,4.0
2019-11-25,1.0,4.0,2.4696969696969697,2.0
2019-11-26,1.0,2.0,1.0606060606060606,1.0
2019-11-27,1.0,3.0,1.553030303030303,1.0
2019-11-28,3.0,4.0,3.8257575757575757,4.0
2019-11-29,3.0,4.0,3.946969696969697,4.0
2019-11-30,3.0,4.0,3.909090909090909,4.0
2019-12-01,2.0,4.0,3.515151515151515,4.0
2019-12-02,1.0,4.0,2.196969696969697,2.0
2019-12-03,1.0,4.0,1.8409090909090908,2.0
2019-12-04,1.0,2.0,1.5151515151515151,2.0
2019-12-05,1.0,2.0,1.356060606060606,1.0
2019-12-06,1.0,2.0,1.356060606060606,1.0
2019-12-07,1.0,2.0,1.4318181818181819,1.0
2019-12-08,1.0,2.0,1.0075757575757576,1.0
2019-12-09,1.0,3.0,1.196969696969697,1.0
2019-12-10,1.0,3.0,1.5454545454545454,1.0
2019-12-11,1.0,4.0,2.340909090909091,2.0
2019-12-12,3.0,4.0,3.6136363636363638,4.0
2019-12-13,2.0,4.0,2.659090909090909,3.0
2019-12-14,2.0,4.0,2.6363636363636362,2.0
2019-12-15,1.0,4.0,3.409090909090909,4.0
2019-12-16,1.0,3.0,1.3863636363636365,1.0
2019-12-17,2.0,4.0,3.628787878787879,4.0
2019-12-18,1.0,2.0,1.2651515151515151,1.0
2019-12-19,1.0,4.0,3.7196969696969697,4.0
2019-12-20,1.0,4.0,2.007575757575758,2.0
2019-12-21,1.0,1.0,1.0,1.0
2019-12-22,1.0,4.0,2.918918918918919,3.0
2019-12-23,1.0,4.0,2.5416666666666665,3.0
2019-12-24,1.0,2.0,1.5,1.5
2019-12-25,3.0,4.0,3.857142857142857,4.0
2019-12-26,1.0,4.0,1.6428571428571428,1.0
2019-12-27,1.0,4.0,2.25,2.0
2019-12-28,1.0,4.0,3.265151515151515,4.0
2019-12-29,1.0,2.0,1.2196969696969697,1.0
2019-12-30,1.0,1.0,1.0,1.0
2019-12-31,1.0,3.0,1.0909090909090908,1.0
2020-01-01,1.0,4.0,1.5757575757575757,1.0
2020-01-02,1.0,4.0,2.5681818181818183,3.0
2020-01-03,1.0,3.0,2.022727272727273,2.0
2020-01-04,1.0,3.0,2.492424242424242,3.0
2020-01-05,1.0,4.0,2.356060606060606,2.0
2020-01-06,1.0,3.0,1.606060606060606,1.0
2020-01-07,1.0,4.0,3.227272727272727,4.0
2020-01-08,1.0,4.0,1.6818181818181819,1.0
2020-01-09,1.0,3.0,1.2272727272727273,1.0
2020-01-10,1.0,3.0,1.7575757575757576,2.0
2020-01-11,1.0,3.0,1.4772727272727273,1.0
2020-01-12,1.0,4.0,3.4242424242424243,4.0
2020-01-13,2.0,4.0,3.803030303030303,4.0
2020-01-14,1.0,3.0,1.4621212121212122,1.0
2020-01-15,1.0,2.0,1.4696969696969697,1.0
2020-01-16,1.0,4.0,2.7196969696969697,3.0
2020-01-17,2.0,4.0,2.878787878787879,3.0
2020-01-18,1.0,3.0,1.5227272727272727,1.0
2020-01-19,1.0,3.0,1.4924242424242424,1.0
2020-01-20,3.0,4.0,3.75,4.0
2020-01-21,1.0,2.0,1.128787878787879,1.0
2020-01-22,1.0,3.0,1.696969696969697,2.0
2020-01-23,2.0,4.0,3.5681818181818183,4.0
2020-01-24,1.0,4.0,2.022727272727273,2.0
2020-01-25,1.0,4.0,2.0,2.0
2020-01-26,1.0,3.0,1.1515151515151516,1.0
2020-01-27,1.0,3.0,2.0,2.0
2020-01-28,1.0,2.0,1.0984848484848484,1.0
2020-01-29,1.0,1.0,1.0,1.0
2020-01-30,1.0,2.0,1.1515151515151516,1.0
2020-01-31,1.0,4.0,3.4696969696969697,4.0
2020-02-01,3.0,4.0,3.9393939393939394,4.0
2020-02-02,3.0,4.0,3.8181818181818183,4.0
2020-02-03,4.0,4.0,4.0,4.0
2018-02-01,3.0,4.0,3.8863636363636362,4.0
2018-02-02,1.0,4.0,3.643939393939394,4.0
2018-02-03,1.0,4.0,2.022727272727273,2.0
2018-02-04,3.0,4.0,3.537878787878788,4.0
2018-02-05,1.0,3.0,1.5681818181818181,1.0
2018-02-06,1.0,3.0,1.5075757575757576,1.0
2018-02-07,2.0,4.0,3.6893939393939394,4.0
2018-02-08,1.0,4.0,2.4318181818181817,2.0
2018-02-09,1.0,3.0,1.628787878787879,2.0
2018-02-10,1.0,3.0,1.553030303030303,1.0
2018-02-11,2.0,4.0,3.227272727272727,3.0
2018-02-12,1.0,4.0,1.7424242424242424,1.0
2018-02-13,1.0,4.0,1.4621212121212122,1.0
2018-02-14,1.0,4.0,3.5606060606060606,4.0
2018-02-15,3.0,4.0,3.9696969696969697,4.0
2018-02-16,1.0,3.0,1.696969696969697,2.0
2018-02-17,1.0,4.0,3.106060606060606,3.0
2018-02-18,2.0,4.0,3.037878787878788,3.0
2018-02-19,2.0,4.0,3.734848484848485,4.0
2018-02-20,2.0,3.0,2.507575757575758,3.0
2018-02-21,2.0,4.0,3.25,3.5
2018-02-22,3.0,4.0,3.8484848484848486,4.0
2018-02-23,3.0,4.0,3.5454545454545454,4.0
2018-02-24,3.0,4.0,3.1515151515151514,3.0
2018-02-25,2.0,4.0,2.946969696969697,3.0
2018-02-26,2.0,4.0,3.477272727272727,4.0
2018-02-27,4.0,4.0,4.0,4.0
2018-02-28,1.0,4.0,2.7196969696969697,3.0
2018-03-01,1.0,3.0,2.7045454545454546,3.0
2018-03-02,1.0,4.0,3.2196969696969697,3.0
2018-03-03,1.0,2.0,1.2121212121212122,1.0
2018-03-04,2.0,4.0,3.507575757575758,4.0
2018-03-05,1.0,4.0,3.0757575757575757,3.0
2018-03-06,1.0,3.0,1.2954545454545454,1.0
2018-03-07,2.0,4.0,3.5757575757575757,4.0
2018-03-08,1.0,3.0,1.4924242424242424,1.0
2018-03-09,1.0,4.0,3.5454545454545454,4.0
2018-03-10,1.0,4.0,3.409090909090909,4.0
2018-03-11,1.0,3.0,1.5,1.0
2018-03-12,3.0,4.0,3.8106060606060606,4.0
2018-03-13,2.0,4.0,2.6515151515151514,3.0
2018-03-14,2.0,4.0,3.5454545454545454,4.0
2018-03-15,1.0,4.0,2.984848484848485,4.0
2018-03-16,1.0,3.0,1.7196969696969697,2.0
2018-03-17,2.0,4.0,2.984848484848485,3.0
2018-03-18,1.0,3.0,1.4242424242424243,1.0
2018-03-19,1.0,2.0,1.143939393939394,1.0
2018-03-20,2.0,4.0,3.3333333333333335,3.0
2018-03-21,3.0,4.0,3.962121212121212,4.0
2018-03-22,1.0,4.0,2.9696969696969697,3.0
2018-03-23,1.0,2.0,1.2121212121212122,1.0
2018-03-24,1.0,2.0,1.0303030303030303,1.0
2018-03-25,1.0,3.0,1.9772727272727273,2.0
2018-03-26,2.0,4.0,3.234848484848485,3.0
2018-03-27,1.0,4.0,2.0606060606060606,2.0
2018-03-28,1.0,1.0,1.0,1.0
2018-03-29,1.0,1.0,1.0,1.0
2018-03-30,1.0,4.0,1.9090909090909092,2.0
2018-03-31,3.0,4.0,3.4393939393939394,3.0
2018-04-01,2.0,4.0,3.053030303030303,3.0
2018-04-02,3.0,4.0,3.6136363636363638,4.0
2018-04-03,1.0,3.0,1.5378787878787878,1.0
2018-04-04,1.0,3.0,2.022727272727273,2.0
2018-04-05,1.0,3.0,1.7424242424242424,1.5
2018-04-06,1.0,3.0,1.5984848484848484,1.0
2018-04-07,2.0,4.0,2.696969696969697,3.0
2018-04-08,2.0,4.0,3.878787878787879,4.0
2018-04-09,3.0,4.0,3.992424242424242,4.0
2018-04-10,3.0,4.0,3.6818181818181817,4.0
2018-04-11,3.0,4.0,3.9696969696969697,4.0
2018-04-12,3.0,4.0,3.878787878787879,4.0
2018-04-13,1.0,4.0,3.037878787878788,3.0
