timestamp,wind direction_min,wind direction_max,wind direction_mean,wind direction_median
2018-03-14,5,335,145.63636363636363,135.0
2018-03-15,66,315,183.03030303030303,194.0
2018-03-16,0,360,225.03030303030303,245.0
2018-03-17,45,315,223.71969696969697,229.0
2018-03-18,5,360,221.4469696969697,256.5
2018-03-19,0,360,218.28030303030303,245.0
2018-03-20,45,315,239.27272727272728,239.0
2018-03-21,45,360,260.219696969697,259.0
2018-03-22,45,360,275.8636363636364,291.0
2018-03-23,155,355,255.8939393939394,270.0
2018-03-24,0,360,203.87878787878788,270.0
2018-03-25,90,333,180.70454545454547,135.0
2018-03-26,0,253,123.52272727272727,135.0
2018-03-27,45,225,120.6590909090909,135.0
2018-03-28,45,273,209.5151515151515,217.0
2018-03-29,0,331,265.3712121212121,270.0
2018-03-30,45,360,242.7348484848485,249.0
2018-03-31,45,315,217.65151515151516,231.0
2018-04-01,45,270,210.43939393939394,225.0
2018-04-02,45,281,177.52272727272728,180.0
2018-04-03,0,357,198.4090909090909,270.0
2018-04-04,0,315,246.1818181818182,270.0
2018-04-05,215,315,269.59090909090907,270.0
2018-04-06,201,315,260.4166666666667,270.0
2018-04-07,45,315,233.5151515151515,270.0
2018-04-08,45,279,211.1590909090909,225.0
2018-04-09,0,315,204.8409090909091,225.0
2018-04-10,0,261,110.10606060606061,135.0
2018-04-11,5,360,140.8560606060606,62.0
2018-04-12,45,360,177.07575757575756,219.5
2018-04-13,24,315,113.75,90.0
2018-04-14,40,315,154.61363636363637,70.0
2018-04-15,66,360,187.1590909090909,212.5
2018-04-16,90,225,186.6590909090909,225.0
2018-04-17,163,225,204.4318181818182,202.0
2018-04-18,179,225,204.25,205.0
2018-04-19,90,238,196.15151515151516,189.0
2018-04-20,90,229,189.20454545454547,198.0
2018-04-21,146,228,204.6969696969697,210.0
2018-04-22,180,229,216.1060606060606,219.0
2018-04-23,194,237,224.83333333333334,225.0
2018-04-24,129,240,221.6818181818182,225.0
2018-04-25,157,270,226.00757575757575,225.0
2018-04-26,159,270,228.9469696969697,225.0
2018-04-27,90,270,215.2348484848485,225.0
2018-04-28,90,270,139.38636363636363,135.0
2018-04-29,90,315,253.54545454545453,270.0
2018-04-30,183,270,238.86363636363637,232.0
2018-05-01,196,270,223.46212121212122,225.0
2018-05-02,209,270,236.2651515151515,228.0
2018-05-03,37,360,229.93939393939394,248.0
2018-05-04,0,270,167.46212121212122,195.0
2018-05-05,45,270,187.3030303030303,221.5
2018-05-06,90,230,206.24242424242425,225.0
2018-05-07,203,270,223.4318181818182,225.0
2018-05-08,45,225,201.6818181818182,225.0
2018-05-09,9,315,195.9848484848485,225.0
2018-05-10,0,315,171.56060606060606,196.5
2018-05-11,45,225,128.42424242424244,135.0
2018-05-12,8,360,182.95454545454547,135.0
2018-05-13,80,315,200.4090909090909,228.5
2018-05-14,72,315,206.92424242424244,218.0
2018-05-15,135,270,217.21969696969697,225.0
2018-05-16,110,315,243.40151515151516,258.0
2018-05-17,0,360,235.34848484848484,270.0
2018-05-18,0,360,152.45454545454547,112.5
2018-05-19,45,252,146.59848484848484,135.0
2018-05-20,45,360,193.9090909090909,220.0
2018-05-21,0,360,202.70454545454547,225.0
2018-05-22,45,360,205.9090909090909,225.0
2018-05-23,90,237,206.0909090909091,225.0
2018-05-24,0,315,231.27272727272728,225.0
2018-05-25,4,333,254.79545454545453,270.0
2018-05-26,17,270,149.90151515151516,180.0
2018-05-27,26,225,135.6590909090909,114.0
2018-05-28,45,225,128.11363636363637,135.0
2018-05-29,45,174,114.6590909090909,120.5
2018-05-30,135,230,210.37878787878788,225.0
2018-05-31,45,270,235.03787878787878,246.5
2018-06-01,45,315,175.0909090909091,180.0
2018-06-02,40,135,93.87878787878788,90.0
2018-06-03,80,360,212.06060606060606,224.0
2018-06-04,0,315,189.95454545454547,199.0
2018-06-05,96,234,197.02272727272728,210.0
2018-06-06,0,281,161.11363636363637,180.0
2018-06-07,13,360,57.78787878787879,45.0
2018-06-08,36,74,56.28030303030303,55.0
2018-06-09,42,82,64.14393939393939,65.0
2018-06-10,79,225,149.96212121212122,135.0
2018-06-11,183,260,227.65151515151516,225.0
2018-06-12,17,360,199.43939393939394,218.0
2018-06-13,4,360,232.71969696969697,315.0
2018-06-14,0,360,242.57575757575756,275.0
2018-06-15,0,360,168.20454545454547,135.0
2018-06-16,0,360,158.1060606060606,135.0
2018-06-17,11,360,244.20454545454547,288.0
2018-06-18,45,315,194.24242424242425,250.0
2018-06-19,106,270,209.67424242424244,225.0
2018-06-20,107,270,189.8560606060606,191.0
2018-06-21,126,315,232.8181818181818,241.0
2018-06-22,135,311,247.12878787878788,232.5
2018-06-23,11,360,221.75757575757575,311.0
2018-06-24,3,349,259.07575757575756,315.0
2018-06-25,6,360,145.52272727272728,66.0
2018-06-26,0,180,82.21212121212122,75.0
2018-06-27,45,229,137.17424242424244,135.0
2018-06-28,90,315,232.87121212121212,234.0
2018-06-29,290,357,308.75757575757575,304.0
2018-06-30,29,360,247.5909090909091,292.0
2018-07-01,0,360,232.9318181818182,285.0
2018-07-02,0,360,108.1969696969697,67.0
2018-07-03,21,265,105.06818181818181,110.0
2018-07-04,211,315,252.29545454545453,247.0
2018-07-05,204,315,268.31060606060606,270.0
2018-07-06,62,329,229.0530303030303,259.0
2018-07-07,0,360,185.2651515151515,233.0
2018-07-08,42,315,109.14393939393939,90.0
2018-07-09,27,119,64.39393939393939,57.0
2018-07-10,20,360,235.0151515151515,315.0
2018-07-11,0,360,226.46212121212122,283.5
2018-07-12,72,360,195.0909090909091,214.0
2018-07-13,24,360,251.1818181818182,267.5
2018-07-14,0,360,249.70454545454547,274.0
2018-07-15,249,360,291.79545454545456,290.5
2018-07-16,139,315,264.9166666666667,288.0
2018-07-17,160,356,290.9015151515151,294.0
2018-07-18,0,360,270.84090909090907,304.0
2018-07-19,0,360,117.8409090909091,51.0
2018-07-20,10,356,199.08333333333334,257.0
2018-07-21,0,357,288.9166666666667,297.0
2018-07-22,0,356,97.95454545454545,59.0
2018-07-23,0,349,75.71969696969697,66.0
2018-07-24,0,360,85.68939393939394,72.0
