timestamp,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median
2018-04-04,0,70,36.74242424242424,30.0
2018-04-05,0,60,34.92424242424242,30.0
2018-04-06,0,20,4.848484848484849,0.0
2018-04-07,20,90,37.42424242424242,30.0
2018-04-08,10,30,12.878787878787879,10.0
2018-04-09,10,30,23.03030303030303,20.0
2018-04-10,0,60,33.40909090909091,30.0
2018-04-11,0,20,7.045454545454546,10.0
2018-04-12,10,30,18.181818181818183,20.0
2018-04-13,0,20,3.6363636363636362,0.0
2018-04-14,0,10,1.7424242424242424,0.0
2018-04-15,10,60,22.424242424242426,20.0
2018-04-16,20,80,49.24242424242424,60.0
2018-04-17,0,80,32.95454545454545,30.0
2018-04-18,0,10,2.121212121212121,0.0
2018-04-19,0,10,0.30303030303030304,0.0
2018-04-20,0,20,7.803030303030303,10.0
2018-04-21,0,60,24.318181818181817,20.0
2018-04-22,0,30,11.287878787878787,10.0
2018-04-23,0,0,0.0,0.0
2018-04-24,0,0,0.0,0.0
2018-04-25,0,20,9.772727272727273,10.0
2018-04-26,10,30,24.09090909090909,20.0
2018-04-27,10,30,19.015151515151516,20.0
2018-04-28,20,60,30.454545454545453,25.0
2018-04-29,0,20,5.681818181818182,0.0
2018-04-30,0,20,6.96969696969697,0.0
2018-05-01,0,20,6.287878787878788,0.0
2018-05-02,0,20,6.0606060606060606,0.0
2018-05-03,10,30,16.893939393939394,20.0
2018-05-04,10,60,29.318181818181817,30.0
2018-05-05,20,60,40.60606060606061,30.0
2018-05-06,20,30,24.545454545454547,20.0
2018-05-07,20,70,48.81060606060606,60.0
2018-05-08,20,60,32.121212121212125,30.0
2018-05-09,0,60,25.757575757575758,20.0
2018-05-10,0,20,1.8181818181818181,0.0
2018-05-11,0,30,9.696969696969697,5.0
2018-05-12,20,90,55.07575757575758,60.0
2018-05-13,20,60,36.515151515151516,30.0
2018-05-14,20,80,38.333333333333336,30.0
2018-05-15,10,30,19.62121212121212,20.0
2018-05-16,0,30,11.969696969696969,10.0
2018-05-17,0,30,9.090909090909092,10.0
2018-05-18,0,30,9.393939393939394,10.0
2018-05-19,10,60,23.40909090909091,20.0
2018-05-20,10,20,17.727272727272727,20.0
2018-05-21,20,90,39.46969696969697,30.0
2018-05-22,0,90,32.72727272727273,20.0
2018-05-23,0,20,5.681818181818182,0.0
2018-05-24,0,20,10.909090909090908,10.0
2018-05-25,0,60,20.075757575757574,20.0
2018-05-26,0,60,22.348484848484848,20.0
2018-05-27,0,60,15.227272727272727,10.0
2018-05-28,0,0,0.0,0.0
2018-05-29,0,10,1.893939393939394,0.0
2018-05-30,0,20,5.53030303030303,0.0
2018-05-31,0,20,12.424242424242424,10.0
2018-06-01,0,20,12.196969696969697,10.0
2018-06-02,10,90,29.772727272727273,20.0
2018-06-03,20,90,68.10606060606061,70.0
2018-06-04,0,30,18.636363636363637,20.0
2018-06-05,0,20,6.742424242424242,10.0
2018-06-06,0,20,13.333333333333334,10.0
2018-06-07,20,90,41.81818181818182,30.0
2018-06-08,60,90,82.95454545454545,90.0
2018-06-09,20,80,49.09090909090909,60.0
2018-06-10,20,60,28.636363636363637,30.0
2018-06-11,0,20,9.393939393939394,10.0
2018-06-12,10,20,12.348484848484848,10.0
2018-06-13,10,60,22.5,20.0
2018-06-14,10,30,20.0,20.0
2018-06-15,20,60,31.431818181818183,30.0
2018-06-16,0,30,11.43939393939394,10.0
2018-06-17,0,10,0.7575757575757576,0.0
2018-06-18,0,10,2.9545454545454546,0.0
2018-06-19,0,10,1.5606060606060606,0.0
2018-06-20,0,10,2.3636363636363638,0.0
2018-06-21,0,10,3.3333333333333335,0.0
2018-06-22,10,60,19.46969696969697,20.0
2018-06-23,0,60,19.681818181818183,10.0
2018-06-24,0,20,6.287878787878788,10.0
2018-06-25,0,10,2.3484848484848486,0.0
2018-06-26,0,20,12.272727272727273,10.0
2018-06-27,10,80,31.818181818181817,30.0
2018-06-28,30,90,65.83333333333333,70.0
2018-06-29,20,60,23.257575757575758,20.0
2018-06-30,20,60,35.22727272727273,30.0
2018-07-01,10,60,35.60606060606061,30.0
2018-07-02,10,60,15.227272727272727,10.0
2018-07-03,10,20,15.757575757575758,20.0
2018-07-04,20,60,23.560606060606062,20.0
2018-07-05,20,60,29.545454545454547,20.0
2018-07-06,0,30,16.515151515151516,20.0
2018-07-07,0,20,8.106060606060606,10.0
2018-07-08,0,60,14.318181818181818,10.0
2018-07-09,0,20,8.181818181818182,10.0
2018-07-10,0,10,4.848484848484849,0.0
2018-07-11,0,60,22.045454545454547,20.0
2018-07-12,30,80,64.39393939393939,70.0
2018-07-13,10,70,36.43939393939394,30.0
2018-07-14,10,20,17.575757575757574,20.0
2018-07-15,10,60,23.71212121212121,20.0
2018-07-16,20,60,22.272727272727273,20.0
2018-07-17,10,60,21.045454545454547,20.0
2018-07-18,20,90,55.93939393939394,60.0
2018-07-19,20,70,36.06060606060606,30.0
2018-07-20,20,60,24.015151515151516,20.0
2018-07-21,10,30,19.09090909090909,20.0
2018-07-22,10,30,15.984848484848484,20.0
2018-07-23,10,60,17.5,20.0
2018-07-24,20,60,22.5,20.0
2018-07-25,10,30,17.5,20.0
2018-07-26,10,60,26.818181818181817,20.0
2018-07-27,10,61,20.234848484848484,20.0
2018-07-28,10,20,16.666666666666668,20.0
2018-07-29,10,60,20.984848484848484,20.0
2018-07-30,10,60,20.90909090909091,20.0
2018-07-31,10,30,22.651515151515152,20.0
2018-08-01,30,90,72.12121212121212,80.0
2018-08-02,30,90,70.60606060606061,70.0
2018-08-03,29,70,40.515151515151516,30.0
2018-08-04,10,60,26.431818181818183,30.0
2018-08-05,10,30,20.984848484848484,20.0
2018-08-06,20,60,30.833333333333332,30.0
2018-08-07,20,60,25.833333333333332,20.0
2018-08-08,20,80,38.03030303030303,30.0
2018-08-09,20,70,33.40909090909091,30.0
2018-08-10,10,60,30.681818181818183,30.0
2018-08-11,10,60,21.363636363636363,20.0
2018-08-12,10,60,21.515151515151516,20.0
2018-08-13,10,60,23.40909090909091,20.0
2018-08-14,10,30,17.727272727272727,20.0
2018-08-15,10,30,16.666666666666668,20.0
2018-08-16,10,30,19.393939393939394,20.0
2018-08-17,20,60,27.87878787878788,30.0
2018-08-18,10,60,25.757575757575758,20.0
2018-08-19,10,30,17.87878787878788,20.0
2018-08-20,10,60,24.696969696969695,20.0
2018-08-21,10,60,31.893939393939394,30.0
2018-08-22,30,80,56.13636363636363,60.0
2018-08-23,20,80,45.45454545454545,30.0
2018-08-24,20,30,21.742424242424242,20.0
2018-08-25,10,30,20.984848484848484,20.0
2018-08-26,20,70,41.43939393939394,30.0
2018-08-27,10,70,23.560606060606062,20.0
2018-08-28,10,80,27.5,20.0
2018-08-29,20,80,37.196969696969695,30.0
2018-08-30,30,80,55.90909090909091,60.0
2018-08-31,20,80,33.40909090909091,30.0
2018-09-01,20,60,25.0,20.0
2018-09-02,10,60,27.727272727272727,20.0
2018-09-03,20,60,31.666666666666668,30.0
2018-09-04,10,60,26.28787878787879,20.0
2018-09-05,10,30,16.515151515151516,15.0
2018-09-06,10,30,13.93939393939394,10.0
2018-09-07,10,60,20.53030303030303,20.0
2018-09-08,30,80,66.13636363636364,60.0
2018-09-09,30,70,48.333333333333336,60.0
2018-09-10,30,80,66.06060606060606,70.0
2018-09-11,30,80,48.333333333333336,60.0
2018-09-12,20,60,36.89393939393939,30.0
2018-09-13,20,90,44.696969696969695,30.0
2018-09-14,20,90,53.25757575757576,60.0
2018-09-15,20,60,22.12121212121212,20.0
2018-09-16,20,70,40.833333333333336,30.0
2018-09-17,20,90,62.65151515151515,70.0
